epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8310.9,0.69076,0.67897,1.11859,0.9931,0.98883,0.99355,0.95379,0.30476,0.1927,0.82515,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8564.21,0.68756,0.66542,1.11825,0.99163,0.99151,0.99337,0.95366,0.3051,0.19127,0.82549,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8817.69,0.68159,0.66192,1.11627,0.99303,0.98914,0.99363,0.95355,0.30103,0.18813,0.82408,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9071.09,0.67664,0.65509,1.10944,0.9932,0.98984,0.99332,0.954,0.3008,0.19087,0.82337,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9324.5,0.66829,0.64956,1.11055,0.99348,0.99115,0.99317,0.95507,0.30117,0.18823,0.82409,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9578.04,0.66535,0.64565,1.10611,0.99309,0.99287,0.99328,0.95595,0.299,0.18492,0.82136,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9831.44,0.65402,0.62934,1.10343,0.99259,0.99148,0.99304,0.95617,0.29718,0.18273,0.81984,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10084.8,0.65258,0.62619,1.09799,0.99258,0.99165,0.99299,0.95613,0.29469,0.18187,0.81911,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10338.3,0.64156,0.62096,1.09726,0.99195,0.99108,0.99383,0.95777,0.29504,0.17958,0.81893,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10591.2,0.45155,0.25234,0.97775,0.99376,0.99011,0.99383,0.95745,0.2917,0.17785,0.8171,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10842.2,0.44224,0.24761,0.97569,0.99314,0.99,0.99333,0.95855,0.29093,0.17614,0.81576,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11093,0.42757,0.23936,0.96386,0.99336,0.99011,0.99345,0.95912,0.28782,0.17388,0.81427,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11345,0.41643,0.2298,0.95632,0.99345,0.99052,0.99371,0.96053,0.28664,0.17211,0.8133,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11598.7,0.41106,0.22398,0.95084,0.994,0.98852,0.99355,0.96085,0.28627,0.17226,0.81309,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11850.5,0.40156,0.22116,0.9472,0.99475,0.98943,0.99358,0.96124,0.28558,0.16911,0.81278,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12102.9,0.39325,0.21279,0.93839,0.99483,0.98927,0.99323,0.96108,0.28483,0.167,0.81205,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12357.1,0.3868,0.20938,0.93622,0.99495,0.98942,0.99305,0.96143,0.2841,0.1676,0.81131,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12609.9,0.37976,0.20593,0.93628,0.99443,0.98923,0.99316,0.96243,0.28346,0.16653,0.81064,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12863.6,0.37242,0.20041,0.92979,0.99271,0.99083,0.99312,0.9628,0.28259,0.16615,0.81026,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
